iter	Passed	Remaining
253	854	2510
254	857	2506
255	861	2502
256	864	2500
257	867	2495
258	870	2491
259	882	2511
260	885	2506
261	888	2501
262	891	2497
263	893	2490
264	895	2484
265	898	2478
266	900	2472
267	903	2466
268	906	2462
269	908	2456
270	911	2452
271	915	2449
272	918	2444
273	921	2440
274	923	2435
275	926	2430
276	930	2428
277	936	2432
278	939	2428
279	943	2426
280	954	2442
281	959	2443
282	964	2444
283	967	2438
284	969	2431
285	971	2425
286	974	2420
287	976	2413
288	978	2408
289	981	2402
290	983	2395
291	986	2390
292	988	2385
293	992	2382
294	994	2376
295	997	2372
296	999	2365
297	1001	2360
298	1004	2353
299	1006	2348
300	1010	2347
301	1013	2341
302	1015	2335
303	1017	2329
304	1019	2323
305	1021	2317
306	1024	2311
307	1026	2307
308	1029	2302
309	1033	2299
310	1035	2293
311	1038	2289
312	1040	2284
313	1043	2280
314	1046	2274
315	1051	2276
316	1057	2278
317	1059	2273
318	1062	2267
319	1064	2262
320	1068	2259
321	1070	2254
322	1073	2249
323	1075	2244
324	1078	2239
325	1080	2233
326	1084	2232
327	1089	2232
328	1091	2226
329	1093	2220
330	1099	2222
331	1104	2222
332	1108	2220
333	1110	2214
334	1114	2212
335	1116	2207
336	1119	2201
337	1121	2196
338	1123	2190
339	1125	2185
340	1127	2179
341	1130	2175
342	1133	2170
343	1136	2166
344	1138	2161
345	1140	2155
346	1142	2150
347	1146	2147
348	1150	2145
349	1152	2140
350	1155	2135
351	1158	2133
352	1161	2128
353	1163	2122
354	1165	2117
355	1167	2112
356	1170	2107
357	1172	2102
358	1174	2097
359	1177	2092
360	1179	2087
361	1181	2081
362	1183	2076
363	1185	2071
364	1187	2065
365	1190	2062
366	1193	2057
367	1195	2053
368	1197	2048
369	1200	2044
370	1202	2039
371	1205	2034
372	1207	2030
373	1209	2024
374	1211	2019
375	1214	2015
376	1216	2010
377	1218	2005
378	1221	2000
379	1223	1995
380	1225	1990
381	1227	1985
382	1229	1980
383	1231	1975
384	1233	1971
385	1237	1968
386	1239	1964
387	1242	1960
388	1245	1955
389	1247	1950
390	1249	1946
391	1253	1944
392	1255	1939
393	1257	1934
394	1260	1930
395	1262	1925
396	1264	1921
397	1267	1917
398	1270	1913
399	1272	1908
400	1274	1904
401	1277	1899
402	1279	1895
403	1283	1893
404	1286	1889
405	1290	1887
406	1292	1883
407	1298	1884
408	1300	1879
409	1302	1874
410	1304	1870
411	1307	1865
412	1309	1861
413	1311	1857
414	1314	1852
415	1316	1847
416	1319	1844
417	1321	1839
418	1323	1835
419	1326	1831
420	1329	1828
421	1333	1825
422	1335	1821
423	1338	1818
424	1343	1818
425	1347	1815
426	1349	1811
427	1352	1806
428	1354	1803
429	1356	1798
430	1359	1794
431	1361	1790
432	1363	1785
433	1365	1781
434	1368	1776
435	1370	1772
436	1373	1768
437	1375	1764
438	1378	1761
439	1381	1758
440	1383	1753
441	1385	1749
442	1388	1745
443	1390	1741
444	1392	1737
445	1394	1732
446	1397	1728
447	1399	1724
448	1401	1719
449	1403	1715
450	1405	1711
451	1408	1707
452	1411	1704
453	1413	1700
454	1415	1695
455	1418	1691
456	1421	1689
457	1426	1688
458	1429	1684
459	1431	1680
460	1434	1676
461	1436	1672
462	1438	1668
463	1440	1664
464	1442	1660
465	1444	1655
466	1447	1651
467	1449	1648
468	1453	1645
469	1455	1641
470	1458	1637
471	1460	1634
472	1463	1630
473	1466	1627
474	1468	1623
475	1471	1619
476	1473	1615
477	1475	1611
478	1477	1607
479	1479	1603
480	1482	1599
481	1484	1595
482	1486	1591
483	1489	1588
484	1494	1586
485	1496	1582
486	1498	1578
487	1500	1574
488	1503	1570
489	1505	1566
490	1507	1562
491	1509	1558
492	1512	1555
493	1514	1551
494	1516	1547
495	1519	1543
496	1521	1539
497	1524	1536
498	1527	1533
499	1532	1532
500	1534	1527
501	1536	1524
502	1538	1520
503	1540	1516
504	1544	1513
505	1546	1510
506	1549	1507
507	1552	1503
508	1555	1500
509	1558	1497
510	1561	1493
511	1564	1490
512	1566	1487
513	1569	1483
514	1572	1480
515	1575	1477
516	1578	1474
517	1580	1470
518	1583	1467
519	1586	1464
520	1589	1461
521	1591	1457
522	1594	1453
523	1596	1450
524	1598	1446
525	1601	1442
526	1604	1439
527	1606	1436
528	1609	1432
529	1611	1428
530	1613	1425
531	1615	1421
532	1618	1418
533	1620	1414
534	1622	1410
535	1625	1406
536	1628	1403
537	1632	1401
538	1637	1400
539	1639	1396
540	1641	1393
541	1644	1389
542	1646	1385
543	1649	1382
544	1651	1379
545	1654	1375
546	1656	1371
547	1658	1368
548	1660	1364
549	1673	1369
550	1678	1367
551	1681	1365
552	1684	1361
553	1687	1358
554	1690	1355
555	1693	1352
556	1695	1348
557	1698	1345
558	1700	1341
559	1703	1338
560	1705	1334
561	1707	1330
562	1709	1327
563	1712	1323
564	1716	1321
565	1719	1318
566	1722	1315
567	1724	1311
568	1727	1308
569	1729	1304
570	1731	1300
571	1733	1297
572	1736	1293
573	1738	1290
574	1741	1286
575	1744	1283
576	1746	1280
577	1748	1276
578	1750	1273
579	1754	1270
580	1757	1267
581	1759	1263
582	1762	1260
583	1765	1257
584	1768	1254
585	1770	1250
586	1773	1247
587	1775	1244
588	1778	1241
589	1780	1237
590	1784	1235
591	1787	1232
592	1791	1229
593	1793	1225
594	1795	1222
595	1797	1218
596	1800	1215
597	1802	1211
598	1805	1208
599	1807	1205
600	1810	1201
601	1812	1198
602	1815	1194
603	1817	1191
604	1819	1187
605	1821	1184
606	1823	1180
607	1826	1177
608	1828	1173
609	1830	1170
610	1832	1166
611	1835	1163
612	1837	1160
613	1839	1156
614	1842	1153
615	1846	1150
616	1849	1147
617	1851	1144
618	1853	1140
619	1855	1137
620	1859	1134
621	1861	1131
622	1864	1128
623	1866	1124
624	1869	1121
625	1871	1118
626	1873	1114
627	1875	1111
628	1878	1107
629	1881	1105
630	1883	1101
631	1886	1098
632	1888	1094
633	1890	1091
634	1892	1087
635	1896	1085
636	1899	1082
637	1901	1079
638	1904	1075
639	1906	1072
640	1908	1068
641	1910	1065
642	1913	1062
643	1915	1058
644	1919	1056
645	1923	1054
646	1926	1050
647	1929	1048
648	1932	1045
649	1935	1042
650	1937	1038
651	1941	1036
652	1944	1033
653	1946	1029
654	1948	1026
655	1950	1022
656	1952	1019
657	1955	1016
658	1957	1012
659	1959	1009
660	1961	1006
661	1964	1002
662	1967	999
663	1971	997
664	1973	994
665	1976	991
666	1978	987
667	1981	984
668	1983	981
669	1986	978
670	1988	975
671	1990	971
672	1995	969
673	1997	966
674	1999	962
675	2002	959
676	2007	957
677	2010	954
678	2012	951
679	2014	947
680	2017	944
681	2019	941
682	2021	938
683	2024	935
684	2026	931
685	2028	928
686	2030	925
687	2032	921
688	2034	918
689	2037	915
690	2039	912
691	2042	909
692	2045	906
693	2048	903
694	2050	900
695	2053	896
696	2055	893
697	2057	890
698	2059	887
699	2062	884
700	2065	880
701	2067	877
702	2069	874
703	2071	870
704	2073	867
705	2075	864
706	2078	861
707	2080	857
708	2082	854
709	2084	851
710	2087	848
711	2089	845
712	2091	841
713	2094	838
714	2096	835
715	2098	832
716	2100	829
717	2103	825
718	2105	822
719	2107	819
720	2109	816
721	2111	813
722	2114	810
723	2116	806
724	2118	803
725	2122	801
726	2126	798
727	2128	795
728	2131	792
729	2133	789
730	2135	785
731	2137	782
732	2140	779
733	2142	776
734	2144	773
735	2146	769
736	2148	766
737	2151	763
738	2153	760
739	2155	757
740	2158	754
741	2162	751
742	2164	748
743	2166	745
744	2169	742
745	2172	739
746	2174	736
747	2176	733
748	2178	730
749	2181	727
750	2183	724
751	2186	721
752	2191	718
753	2194	715
754	2196	712
755	2200	710
756	2202	706
757	2204	703
758	2206	700
759	2208	697
760	2210	694
761	2212	691
762	2215	688
763	2217	684
764	2219	681
765	2221	678
766	2223	675
767	2225	672
768	2227	669
769	2230	666
770	2235	663
771	2239	661
772	2241	658
773	2244	655
774	2246	652
775	2248	649
776	2251	646
777	2253	642
778	2255	639
779	2258	636
780	2262	634
781	2264	631
782	2267	628
783	2269	625
784	2271	622
785	2273	619
786	2276	616
787	2280	613
788	2282	610
789	2285	607
790	2287	604
791	2289	601
792	2292	598
793	2294	595
794	2297	592
795	2299	589
796	2301	586
797	2304	583
798	2306	580
799	2308	577
800	2311	574
801	2315	571
802	2317	568
803	2319	565
804	2322	562
805	2325	559
806	2327	556
807	2330	553
808	2332	550
809	2334	547
810	2337	544
811	2340	541
812	2342	538
813	2344	535
814	2346	532
815	2348	529
816	2351	526
817	2353	523
818	2355	520
819	2357	517
820	2360	514
821	2362	511
822	2364	508
823	2367	505
824	2369	502
825	2372	499
826	2374	496
827	2376	493
828	2378	490
829	2381	487
830	2384	484
831	2387	482
832	2389	479
833	2392	476
834	2394	473
835	2396	470
836	2400	467
837	2404	464
838	2408	462
839	2410	459
840	2412	456
841	2414	453
842	2416	450
843	2418	447
844	2420	444
845	2422	441
846	2425	438
847	2427	435
848	2429	432
849	2432	429
850	2434	426
851	2436	423
852	2438	420
853	2441	417
854	2447	415
855	2450	412
856	2452	409
857	2454	406
858	2456	403
859	2459	400
860	2461	397
861	2464	394
862	2466	391
863	2468	388
864	2470	385
865	2472	382
866	2475	379
867	2478	376
868	2484	374
869	2486	371
870	2489	368
871	2492	365
872	2494	362
873	2496	359
874	2498	356
875	2500	353
876	2502	351
877	2504	348
878	2508	345
879	2510	342
880	2513	339
881	2516	336
882	2521	334
883	2534	332
884	2539	329
885	2542	327
886	2546	324
887	2548	321
888	2550	318
889	2553	315
890	2556	312
891	2559	309
892	2562	307
893	2564	304
894	2567	301
895	2569	298
896	2571	295
897	2574	292
898	2576	289
899	2578	286
900	2580	283
901	2583	280
902	2586	277
903	2588	274
904	2590	271
905	2592	269
906	2596	266
907	2598	263
908	2602	260
909	2605	257
910	2607	254
911	2609	251
912	2611	248
913	2617	246
914	2619	243
915	2621	240
916	2623	237
917	2625	234
918	2628	231
919	2631	228
920	2633	225
921	2635	222
922	2638	220
923	2640	217
924	2642	214
925	2644	211
926	2647	208
927	2649	205
928	2663	203
929	2666	200
930	2668	197
931	2671	194
932	2675	192
933	2679	189
934	2682	186
935	2684	183
936	2686	180
937	2688	177
938	2692	174
939	2694	172
940	2696	169
941	2699	166
942	2701	163
943	2703	160
944	2706	157
945	2708	154
946	2712	151
947	2718	149
948	2720	146
949	2722	143
950	2725	140
951	2727	137
952	2729	134
953	2731	131
954	2733	128
955	2735	125
956	2739	123
957	2741	120
958	2744	117
959	2747	114
960	2750	111
961	2755	108
962	2757	105
963	2759	103
964	2761	100
965	2764	97
966	2766	94
967	2770	91
968	2773	88
969	2777	85
970	2782	83
971	2785	80
972	2788	77
973	2790	74
974	2792	71
975	2795	68
976	2798	65
977	2800	62
978	2802	60
979	2804	57
980	2806	54
981	2808	51
982	2810	48
983	2812	45
984	2815	42
985	2817	40
986	2819	37
987	2823	34
988	2826	31
989	2828	28
990	2831	25
991	2833	22
992	2835	19
993	2838	17
994	2840	14
995	2842	11
996	2844	8
997	2846	5
998	2850	2
999	2853	0
