iter	Logloss
0	0.6744200108
1	0.6597458541
2	0.6461019647
3	0.6343689673
4	0.6221898996
5	0.6096664709
6	0.5991723837
7	0.589683942
8	0.5828047877
9	0.5738179906
10	0.5676702262
11	0.5660781822
12	0.5604224797
13	0.5589152218
14	0.5507889652
15	0.5457173051
16	0.5400541388
17	0.5357458245
18	0.5289499486
19	0.5255374742
20	0.5217637253
21	0.5201641798
22	0.5153443166
23	0.5126170823
24	0.5097542498
25	0.5072476784
26	0.5031385057
27	0.5017212583
28	0.4984569294
29	0.4969623667
30	0.4929671539
31	0.487572064
32	0.4854922289
33	0.4798211248
34	0.4783993104
35	0.4744141324
36	0.4704801019
37	0.4690027091
38	0.4674253975
39	0.4644940225
40	0.4636881412
41	0.4619515527
42	0.4580636227
43	0.4563430915
44	0.4545247602
45	0.4537636129
46	0.4517907354
47	0.4503145003
48	0.4490160142
49	0.4483736074
50	0.4471741842
51	0.4456898064
52	0.4450161667
53	0.4435281855
54	0.4409381313
55	0.4389258375
56	0.4374096506
57	0.4360086024
58	0.4351194471
59	0.434106301
60	0.4327149936
61	0.4304592283
62	0.4293485545
63	0.4280570358
64	0.4272947197
65	0.4256986141
66	0.4247695034
67	0.4240551998
68	0.4226189939
69	0.4216080847
70	0.420779394
71	0.4196111257
72	0.4184504233
73	0.4176578974
74	0.4157258829
75	0.4133441968
76	0.412947095
77	0.4120286376
78	0.4113441702
79	0.4103509962
80	0.4089660671
81	0.4080036948
82	0.4071822165
83	0.4058599835
84	0.4050153368
85	0.4032102671
86	0.4026406959
87	0.4012814034
88	0.4005582202
89	0.3998060296
90	0.3991827371
91	0.3987027716
92	0.3977564238
93	0.3969684877
94	0.3966445579
95	0.3960153405
96	0.3950639072
97	0.394366272
98	0.3935522525
99	0.3931067007
100	0.3926543166
101	0.3922323163
102	0.3913790029
103	0.3899294208
104	0.3892806291
105	0.3879233146
106	0.3871179484
107	0.3847701765
108	0.3839708205
109	0.3833821412
110	0.3830036447
111	0.3820697727
112	0.3803658934
113	0.3797962709
114	0.378991773
115	0.3784168514
116	0.3775833831
117	0.376722031
118	0.3760379028
119	0.3750236403
120	0.3742235729
121	0.3732951736
122	0.3727239608
123	0.3718472612
124	0.371278624
125	0.3703974191
126	0.3699781738
127	0.3693620996
128	0.3677181444
129	0.3671104438
130	0.3666731143
131	0.3662416009
132	0.3658706778
133	0.3654085493
134	0.3648404764
135	0.3632592152
136	0.3627028521
